Course Code,Course Title,Credit Hours,Prerequisites

,,,
COMP- 108,3,4,-
ARAB- 182,2,2,-
MATH- 104,4,5,-
ENGL- 101,4,16,-
CIS- 105,3,3,-
,,,
ENGL- 102,3,10,ENGL 101
ISLM- 181,2,2,-
MATH- 109,4,5,Math 104
ARTI- 108,3,4,-
CYS- 107,3,3,-
,,,
STAT 238,3,4,MATH 109
CSC 231,3,4,COMP 108
ENGL 234,1,2,-
CYS 233,3,4,CIS 105
PHYS205,3,4,-
HIST 281,2,2,-
,,,
CIS 235,3,4,CIS 105
CSC 236,3,4,CSC 231
MATH 232,3,4,STAT 238
CSE 210,3,4,-
CSC 237,3,4,CSC 231
ISLM 282,2,2,-
,,,
CSC 331,3,4,CIS 105
CSE 302,3,3,CSE 210
ARTI 303,3,3,CSC 231
BUS 381,2,2,-
MATH 304,3,3,MATH 232
CSC 305,3,3,"CSC 236, CIS 235"
,,,
BIOL 307,3,3,-
ARTI 309,3,3,MATH 209
CSC 301,3,3,CSC 231
ARTI 308,3,3,ARTI  106
CYS 313,3,3,CYS 233
الفصل الصيفي,,,
ARTI 333,3,24,"ARTI 106, ARTI 303, ARTI 308"
,,,
ARTI 401,2,2,CSC 305
ARTI 406,3,4,ARTI 308
ARTI 407,3,4,ARTI 308
ARTI 405,3,4,"ARTI 106, ARTI 303"
-,3,3,-
,,,
ARTI 402,3,6,ARTI 401
ARTI 403,3,3,-
ARTI 404,3,3,CSE 302
-,3,-,-
,,,
ARTI 451,3,4,ARTI 302
ARTI 452,3,4,ARTI 308
ARTI 453,3,4,ARTI 312
ARTI 454,3,3,-
ARTI 455,3,3,STAT 238
ARTI 456,3,4,ARTI 108
ARTI 457,3,3,-
ARTI 458,3,3,ARTI 308
CIS 457,3,4,-
CYS 404,3,4,-
CYS 408,3,4,-
CYS 405,3,3,-
