Course Code,Course Title,Credit Hours,Prerequisites

,,,
COMP- 108,3,4,-
ARAB- 182,2,2,-
MATH- 104,4,5,-
ENGL- 101,4,16,-
CIS- 105,3,3,-
,,,
ENGL- 102,3,10,ENGL 101
ISLM- 181,2,2,-
MATH- 109,4,5,Math 104
ARTI- 108,3,4,-
CYS- 107,3,3,-
,,,
CSC 231,3,4,COMP 108
ENGL 234,1,2,-
CYS 233,3,4,CIS 105
STAT 238,3,4,MATH 109
HIST 281,2,2,-
MGMT 209,3,3,-
,,,
CIS 235,3,4,CIS 105
CSC 236,3,4,CSC 231
CSC 237,3,4,CSC 231
MATH 232,3,4,STAT 238
ISLM 282,2,2,-
MGMT 210,3,3,MGMT 209
,,,
CSC 331,3,4,CIS 105
302 417,3,4,CIS 105
BUS 381,2,2,-
CIS 304,3,4,CYS 233
CIS 308,3,3,CIS 105
CIS 306,3,4,CIS 235
,,,
MGMT 305,3,3,MGMT 210
CIS 307,3,4,CIS 105
CIS 309,2,2,-
CIS 311,3,4,CSC 236
CYS 313,3,3,CYS 233
CIS 303,3,4,CIS 302
الفصل الصيفي,,,
CIS 333,3,24,"CIS 308,  CIS 302,  CIS 306,  CIS 311"
,,,
CIS 401,2,2,"CIS 308, CIS 302"
MGMT 404,3,3,MGMT 305
CIS 512,3,6,CIS 221
CIS 426,3,4.5,CIS 326
-,3,4.5,-
,,,
CIS 402,3,6,CIS 401
MGMT 406,3,3,MGMT 404
CIS 407,3,3,CIS 308
-,3,-,-
3,-,-,
,,,
CSC 402,3,4,CSC 236
CSC 452,3,4,MATH 232
CIS 451,3,4,-
CIS 452,3,4,-
CIS 453,3,4,-
CIS 454,3,3,-
CIS 455,3,3,-
CIS 456,3,3,-
CIS 457,3,4,-
CIS 458,3,4,CIS 214
CIS 459,3,4,CIS 214
CYS 408,3,4,-
