Course Code,Course Title,Credit Hours,Prerequisites

,,,
COMP- 108,3,4,-
ARAB- 182,2,2,-
MATH- 104,4,5,-
ENGL- 101,4,16,-
CIS- 105,3,3,-
,,,
ENGL- 102,3,10,ENGL 101
ISLM- 181,2,2,-
MATH- 109,4,5,Math 104
ARTI- 108,3,4,-
CYS- 107,3,3,-
,,,
STAT 238,3,4,MATH 109
CSC 231,3,4,COMP 108
ENGL 234,1,2,-
CYS 233,3,4,CIS 105
PHYS205,3,4,-
HIST 281,2,2,-
,,,
CIS 235,3,4,CIS 105
CSC 236,3,4,CSC 231
MATH 232,3,4,STAT 238
CSE 210,3,4,-
CSC 237,3,4,CSC 231
ISLM 282,2,2,-
,,,
CSC 331,3,4,CIS 105
MATH 304,3,3,MATH 232
CSC 305,3,3,"CSC 236, CIS 235"
CSE 302,3,3,CSE 210
MATH 306,3,-,MATH 232
BUS 381,2,2,-
,,,
ARTI 308,3,3,ARTI  106
CIS 307,3,4,CIS 105
CYS 313,3,3,CYS 233
CSC 301,3,3,"MATH 232, CSC 237"
BIOL 307,3,3,-
CIS 311,3,4,CSC 236
CS 444,3,20,"CIS 423, CS 322, CS 411"
,,,
CSC 401,2,-,CSC305
CSC 404,3,-,MATH 306
CSC 402,3,4,CSC 236
CSC 403,3,-,-
el1-cs,3,-,-
,,,
CSC 405,3,-,CSC401
ARTI 404,3,3,CSE 302
3,-,-,
3,-,-,
,,,
CIS 457,3,4,-
ARTI 312,3,4,ARTI 308
ARTI 452,3,4,ARTI 308
CSC 456,3,3,-
CSC 451,3,4,CSC 303
CSC 452,3,4,MATH 232
CSC 453,3,4,CSC 236
CSC 454,3,3,CSC 331
CSC 455,3,3,CSC 331
CYS 404,3,4,-
CS 523,3,4.5,CS 322
CYS 453,3,3,-
