Course Code,Course Title,Credit Hours,Prerequisites
,,,
COMP- 108,3,4,-
ARAB- 182,2,2,-
MATH- 104,4,5,-
ENGL- 101,4,16,-
CIS- 105,3,3,-
,,,
ENGL- 102,3,10,ENGL 101
ISLM- 181,2,2,-
MATH- 109,4,5,Math 104
ARTI- 108,3,4,-
CYS- 107,3,3,-
,,,
STAT 238,3,4,MATH 109
CSC 231,3,4,COMP 108
ENGL 234,1,2,-
CYS 233,3,4,CIS 105
CYS 209,3,-,-
HIST 281,2,2,-
,,,
CIS 235,3,4,CIS 105
CSC 236,3,4,CSC 231
MATH 232,3,4,STAT 238
CSE  210,3,-,-
CSC 237,3,4,CSC 231
ISLM 282,2,2,-
,,,
CSC 331,3,4,CIS 105
CYS 301,3,-,MATH 232
CIS 304,3,4,CYS 233
CYS 305,3,-,-
CYS 302,3,-,-
BUS 381,2,2,-
,,,
CYS  307,3,-,CYS 301
ARTI 308,3,3,ARTI  106
CYS  311,3,-,CSC 331
CSC 301,3,3,CSC 231
CYS 309,3,-,CYS 305
,,,
CYS 401,2,-,"CYS 302, CYS 309, CYS 311"
CYS 403,3,-,CYS 302
CYS 404,3,4,-
CYS 406,3,-,CYS 307
-,3,3,-
,,,
CYS 402,3,-,CYS 401
CYS 407,3,-,-
CYS  408,3,-,-
CYS  405,3,-,-
-,3,-,-
,,,
CYS 451,3,3,-
CYS 452,3,3,-
CYS 453,3,3,-
CYS 454,3,3,-
CYS 455,3,3,-
CYS 456,3,3,-
CYS 457,3,3,-
CYS 458,3,4,-
CIS 457,3,4,-
CYS 459,3,4,-
CSC 402,3,4,CSC 236
